County,State,Population,HouseholdIncome,TotalDebt,Multiple
Middlesex County,New Jersey,837288,83133,126493.0,1.5215738635680176
Salem County,New Jersey,63776,63934,115625.0,1.8085056464478995
Passaic County,New Jersey,510563,63339,93681.0,1.4790413489319376
Cape May County,New Jersey,94549,62332,122754.0,1.9693576333183598
Camden County,New Jersey,510996,65037,90530.0,1.3919768747020926
Bergen County,New Jersey,937920,91572,119131.0,1.300954440221902
Union County,New Jersey,557320,73376,117575.0,1.6023631705189707
Warren County,New Jersey,107088,75500,124927.0,1.654662251655629
Hudson County,New Jersey,679756,62681,115625.0,1.8446578708061454
Hunterdon County,New Jersey,125717,110969,125544.0,1.1313429876812444
Burlington County,New Jersey,449192,82839,103090.0,1.24446214947066
Morris County,New Jersey,498847,107034,130647.0,1.2206121419362073
San Juan County,New Mexico,128221,49686,115780.0,2.330233868695407
Chaves County,New Mexico,65454,42177,191700.0,4.545131232662351
Lea County,New Mexico,69505,59285,145711.0,2.457805515729105
Santa Fe County,New Mexico,147514,57945,181640.0,3.134696695141945
Roosevelt County,New Mexico,19313,35928,69576.0,1.9365397461589846
Otero County,New Mexico,65130,43533,82343.0,1.8915075919417454
Valencia County,New Mexico,75845,43428,89700.0,2.065487703785576
Bernalillo County,New Mexico,674855,50386,109069.0,2.164668757194459
McKinley County,New Mexico,72849,30336,84533.0,2.7865572257383966
Sandoval County,New Mexico,138815,60345,88675.0,1.4694672300936282
Taos County,New Mexico,32809,35314,215473.0,6.101631081157614
Grant County,New Mexico,28382,40470,85229.0,2.1059797380775884
Curry County,New Mexico,50283,41941,89817.0,2.141508309291624
Eddy County,New Mexico,56793,60703,97567.0,1.607284648205196
Schoharie County,New York,31611,51842,100612.0,1.9407430268893946
Bronx County,New York,1455846,36593,87194.0,2.382805454595141
Onondaga County,New York,467669,57271,83836.0,1.4638473223795638
Fulton County,New York,53955,48033,81820.0,1.703412237420107
Clinton County,New York,81224,52759,87021.0,1.6494057885858338
Seneca County,New York,34843,51601,79610.0,1.542799558148098
Rensselaer County,New York,159800,63166,78286.0,1.2393692809422792
Putnam County,New York,99464,99608,112939.0,1.1338346317564854
Franklin County,New York,51054,50733,75238.0,1.4830189423057971
Herkimer County,New York,62943,49077,87315.0,1.7791429793997189
Ontario County,New York,109491,61710,79981.0,1.296078431372549
Queens County,New York,2339280,62008,133825.0,2.158189265901174
Steuben County,New York,97539,50157,71220.0,1.4199413840540702
Washington County,New York,62183,52527,75195.0,1.4315494888343139
Chautauqua County,New York,130846,44304,80539.0,1.817871975442398
Kings County,New York,2635121,52782,125913.0,2.3855291576673867
New York County,New York,1653877,79781,164414.0,2.060816485128038
Tioga County,New York,49322,57153,98600.0,1.7251937781043865
Cayuga County,New York,78319,54664,64971.0,1.1885518805795405
Orleans County,New York,41584,49223,67306.0,1.367368912906568
Saratoga County,New York,226632,77548,92857.0,1.1974132150410068
Rockland County,New York,325027,88571,133540.0,1.507716972824062
Columbia County,New York,61481,61093,92656.0,1.5166385674299838
Lewis County,New York,26845,51475,82294.0,1.5987178241864983
Niagara County,New York,212675,51656,94942.0,1.8379665479324765
Westchester County,New York,975321,89968,133727.0,1.4863840476613908
Delaware County,New York,45950,47921,110333.0,2.302393522672732
Essex County,New York,38233,55294,130800.0,2.365536947950953
Montgomery County,New York,49500,47449,90856.0,1.914813800080086
Nassau County,New York,1363069,105744,117018.0,1.1066159782115297
Richmond County,New York,475948,76244,122520.0,1.6069461203504538
St. Lawrence County,New York,110817,48330,75555.0,1.5633147113594041
Schuyler County,New York,18112,47810,78078.0,1.6330893118594436
Tompkins County,New York,104415,56200,94467.0,1.6809074733096085
Warren County,New York,64701,60222,83061.0,1.3792467868885125
Chenango County,New York,48763,48567,79374.0,1.6343195997282105
Cortland County,New York,48334,52451,76935.0,1.4667975825055766
Dutchess County,New York,295685,75585,102128.0,1.3511675597009989
Jefferson County,New York,116567,50322,85100.0,1.6911092563888557
Monroe County,New York,748680,55272,88145.0,1.594749601968447
Oneida County,New York,232324,51316,81605.0,1.5902447579702237
Suffolk County,New York,1497595,92838,105178.0,1.1329197096016717
Ulster County,New York,180129,61652,119567.0,1.9393855835982612
Wyoming County,New York,40886,55459,72739.0,1.3115815286968753
Chemung County,New York,86883,51251,88011.0,1.7172542974771223
Livingston County,New York,64373,53654,77826.0,1.450516270921087
Oswego County,New York,119833,51755,78765.0,1.5218819437735485
Otsego County,New York,60750,51254,74042.0,1.4446092012330745
Greene County,New York,47791,53214,87463.0,1.6436088247453677
Wayne County,New York,91442,53693,99537.0,1.85381707112659
Albany County,New York,308580,62293,100738.0,1.6171640473247395
Allegany County,New York,47400,45359,98456.0,2.170594589827818
Broome County,New York,196124,49064,65321.0,1.331342736018262
Cattaraugus County,New York,78175,45571,78794.0,1.729038204121042
Erie County,New York,923995,54006,87605.0,1.6221345776395215
Madison County,New York,71760,58365,75157.0,1.287706673520089
Schenectady County,New York,155239,61315,73395.0,1.197015412215608
Sullivan County,New York,75783,53877,100031.0,1.856654973365258
Genesee County,New York,58537,54033,76690.0,1.419317824292562
Yates County,New York,25083,51758,130100.0,2.513621082731172
Orange County,New York,378174,75146,104418.0,1.3895350384584675
Watauga County,North Carolina,53421,41541,92971.0,2.23805397077586
Halifax County,North Carolina,52300,33573,93493.0,2.784767521520269
Alamance County,North Carolina,157844,44281,129569.0,2.9260630970393624
