Name,County,Population,MedianAge,Household Income,PerCapitaIncome,UnemploymentCount,PovertyCount,PovertyRate,State,abbr,UnemployementRate,MedicialPercent,StudentDebtPercent,AutoDebtPercent,OtherPercent,MedicialAmount,StudentDebtAmount,AutoDebtAmount,OtherAmount,TotalDebt
"El Dorado County, California",El Dorado County,185015,45.5,74885,38156,7042,17996,9.72677891,California,CA,0.038061779,24%,11%,29%,36%,"$44,307.0 ","$20,307.4 ","$53,537.6 ","$66,460.5 ","$130,400 "
"Napa County, California",Napa County,141005,40.8,79637,40632,4068,11285,8.003262296,California,CA,0.028850041,23%,9%,28%,40%,"$42,460.9 ","$16,615.1 ","$51,691.5 ","$73,845.0 ","$185,433 "
"San Diego County, California",San Diego County,3283665,35.4,70588,34350,116758,427031,13.00470663,California,CA,0.03555722,28%,13%,30%,29%,"$51,691.5 ","$23,999.6 ","$55,383.8 ","$53,537.6 ","$121,900 "
"Monterey County, California",Monterey County,433168,33.9,63249,27168,11717,60933,14.06682857,California,CA,0.027049551,33%,9%,24%,34%,"$60,922.1 ","$16,615.1 ","$44,307.0 ","$62,768.3 ","$139,533 "
"San Francisco County, California",San Francisco County,864263,38.3,96265,59508,29102,99096,11.46595423,California,CA,0.03367262,16%,13%,15%,56%,"$29,538.0 ","$23,999.6 ","$27,691.9 ","$103,383.0 ","$157,531 "
"Sierra County, California",Sierra County,2885,55.0,44190,31750,64,351,12.16637782,California,CA,0.022183709,,,,,,,,,
"Tulare County, California",Tulare County,458809,30.6,44871,18962,19405,122724,26.74838549,California,CA,0.042294288,42%,11%,29%,18%,"$77,537.3 ","$20,307.4 ","$53,537.6 ","$33,230.3 ","$107,564 "
"Yolo County, California",Yolo County,212605,30.9,61621,30615,7489,39686,18.66654124,California,CA,0.035224948,21%,14%,24%,41%,"$38,768.6 ","$25,845.8 ","$44,307.0 ","$75,691.1 ","$114,614 "
"Humboldt County, California",Humboldt County,135490,37.7,43718,25208,5850,27481,20.28267769,California,CA,0.043176618,28%,14%,24%,34%,"$51,691.5 ","$25,845.8 ","$44,307.0 ","$62,768.3 ","$100,000 "
"Nevada County, California",Nevada County,98838,49.8,60610,35581,3348,11861,12.00044517,California,CA,0.033873611,23%,10%,23%,44%,"$42,460.9 ","$18,461.3 ","$42,460.9 ","$81,229.5 ","$154,200 "
"Alpine County, California",Alpine County,1203,44.9,63438,27448,64,235,19.53449709,California,CA,0.053200332999999995,,,,,,,,,
"Madera County, California",Madera County,154440,33.7,48210,19975,5045,32244,20.87801088,California,CA,0.032666408,35%,10%,30%,25%,"$64,614.4 ","$18,461.3 ","$55,383.8 ","$46,153.1 ","$123,480 "
"Mendocino County, California",Mendocino County,87497,42.4,46528,27093,4304,16448,18.798358800000003,California,CA,0.049190258,31%,7%,27%,35%,"$57,229.9 ","$12,922.9 ","$49,845.4 ","$64,614.4 ","$161,771 "
"Santa Cruz County, California",Santa Cruz County,273263,37.3,73663,36388,9672,38605,14.12741571,California,CA,0.035394472999999996,20%,11%,24%,45%,"$36,922.5 ","$20,307.4 ","$44,307.0 ","$83,075.6 ","$168,836 "
