County,State,MedicalPercent,StudentDebtPercent,AutoDebtPercent,OtherPercent,MedicalAmount,StudentDebtAmount,AutoDebtAmount,OtherAmount,TotalDebt
Brown County,Texas,0.47,0.17,0.3,0.06,86767.9,31384.1,55383.8,11076.8,70947
Cameron County,Texas,0.57,0.15,0.26,0.02,105229.1,27691.9,47999.3,3692.3,65867
Box Elder County,Utah,0.23,0.11,0.42,0.24,42460.9,20307.4,77537.3,44307,184355
Summit County,Utah,0.18,0.12,0.34,0.36,33230.3,22153.5,62768.3,66460.5,154492
Davis County,Utah,0.2,0.14,0.4,0.26,36922.5,25845.8,73845,47999.3,113993
Washington County,Utah,0.24,0.12,0.33,0.31,44307,22153.5,60922.1,57229.9,113650
Salt Lake County,Utah,0.28,0.13,0.35,0.24,51691.5,23999.6,64614.4,44307,111185
Uintah County,Utah,0.38,0.1,0.34,0.18,70152.8,18461.3,62768.3,33230.3,109660
Wasatch County,Utah,0.24,0.11,0.41,0.24,44307,20307.4,75691.1,44307,107127
Tooele County,Utah,0.32,0.15,0.4,0.13,59076,27691.9,73845,23999.6,96560
Iron County,Utah,0.31,0.14,0.35,0.2,57229.9,25845.8,64614.4,36922.5,92186
Cache County,Utah,0.2,0.16,0.31,0.33,36922.5,29538,57229.9,60922.1,87144
Weber County,Utah,0.27,0.13,0.39,0.21,49845.4,23999.6,71998.9,38768.6,81908
Utah County,Utah,0.21,0.17,0.38,0.24,38768.6,31384.1,70152.8,44307,78894
Sanpete County,Utah,0.28,0.14,0.32,0.26,51691.5,25845.8,59076,47999.3,66443
Orleans County,Vermont,0.25,0.12,0.43,0.2,46153.1,22153.5,79383.4,36922.5,126283
Addison County,Vermont,0.21,0.17,0.41,0.21,38768.6,31384.1,75691.1,38768.6,126112
Windsor County,Vermont,0.23,0.17,0.39,0.21,42460.9,31384.1,71998.9,38768.6,115812
Rutland County,Vermont,0.27,0.16,0.4,0.17,49845.4,29538,73845,31384.1,107688
Franklin County,Vermont,0.22,0.18,0.47,0.13,40614.8,33230.3,86767.9,23999.6,106594
Washington County,Vermont,0.19,0.18,0.41,0.22,35076.4,33230.3,75691.1,40614.8,106206
Lamoille County,Vermont,0.26,0.17,0.45,0.12,47999.3,31384.1,83075.6,22153.5,102941
Orange County,Vermont,0.2,0.17,0.44,0.19,36922.5,31384.1,81229.5,35076.4,102335
Windham County,Vermont,0.24,0.16,0.34,0.26,44307,29538,62768.3,47999.3,101000
Bennington County,Vermont,0.26,0.17,0.37,0.2,47999.3,31384.1,68306.6,36922.5,97435
Caledonia County,Vermont,0.26,0.17,0.42,0.15,47999.3,31384.1,77537.3,27691.9,92735
Chittenden County,Vermont,0.17,0.19,0.37,0.27,31384.1,35076.4,68306.6,49845.4,90500
Wise County,Virginia,0.53,0.08,0.31,0.08,97844.6,14769,57229.9,14769,258725
Accomack County,Virginia,0.46,0.1,0.28,0.16,84921.8,18461.3,51691.5,29538,235990
Smyth County,Virginia,0.43,0.1,0.32,0.15,79383.4,18461.3,59076,27691.9,215260
Mecklenburg County,Virginia,0.42,0.1,0.26,0.22,77537.3,18461.3,47999.3,40614.8,174090
Fairfax city,Virginia,0.13,0.12,0.26,0.49,23999.6,22153.5,47999.3,90460.1,172700
Shenandoah County,Virginia,0.28,0.1,0.33,0.29,51691.5,18461.3,60922.1,53537.6,168490
Rockingham County,Virginia,0.26,0.1,0.28,0.36,47999.3,18461.3,51691.5,66460.5,166130
Winchester city,Virginia,0.41,0.12,0.26,0.21,75691.1,22153.5,47999.3,38768.6,160175
Prince George County,Virginia,0.31,0.14,0.36,0.19,57229.9,25845.8,66460.5,35076.4,158871
Washington County,Virginia,0.36,0.09,0.33,0.22,66460.5,16615.1,60922.1,40614.8,158722
Powhatan County,Virginia,0.2,0.13,0.34,0.33,36922.5,23999.6,62768.3,60922.1,158300
Louisa County,Virginia,0.34,0.13,0.34,0.19,62768.3,23999.6,62768.3,35076.4,158238
Pittsylvania County,Virginia,0.38,0.11,0.23,0.28,70152.8,20307.4,42460.9,51691.5,157109
Augusta County,Virginia,0.29,0.11,0.33,0.27,53537.6,20307.4,60922.1,49845.4,156491
Franklin County,Virginia,0.27,0.12,0.28,0.33,49845.4,22153.5,51691.5,60922.1,154900
Montgomery County,Virginia,0.22,0.16,0.22,0.4,40614.8,29538,40614.8,73845,145419
Orange County,Virginia,0.31,0.12,0.35,0.22,57229.9,22153.5,64614.4,40614.8,141542
Arlington County,Virginia,0.17,0.18,0.23,0.42,31384.1,33230.3,42460.9,77537.3,141417
Pulaski County,Virginia,0.41,0.12,0.34,0.13,75691.1,22153.5,62768.3,23999.6,140008
Suffolk city,Virginia,0.39,0.17,0.36,0.08,71998.9,31384.1,66460.5,14769,138894
Fairfax County,Virginia,0.17,0.14,0.28,0.41,31384.1,25845.8,51691.5,75691.1,138493
Henry County,Virginia,0.4,0.12,0.26,0.22,73845,22153.5,47999.3,40614.8,135300
New Kent County,Virginia,0.21,0.17,0.37,0.25,38768.6,31384.1,68306.6,46153.1,133235
Amherst County,Virginia,0.35,0.15,0.27,0.23,64614.4,27691.9,49845.4,42460.9,133107
Hanover County,Virginia,0.2,0.15,0.36,0.29,36922.5,27691.9,66460.5,53537.6,131247
Albemarle County,Virginia,0.17,0.14,0.28,0.41,31384.1,25845.8,51691.5,75691.1,131164
Salem city,Virginia,0.27,0.16,0.28,0.29,49845.4,29538,51691.5,53537.6,130194
Bedford County,Virginia,0.23,0.14,0.28,0.35,42460.9,25845.8,51691.5,64614.4,130029
Hopewell city,Virginia,0.59,0.13,0.25,0.03,108921.4,23999.6,46153.1,5538.4,127738
Charlottesville city,Virginia,0.23,0.18,0.21,0.38,42460.9,33230.3,38768.6,70152.8,127472
Frederick County,Virginia,0.29,0.14,0.35,0.22,53537.6,25845.8,64614.4,40614.8,125771
Fauquier County,Virginia,0.23,0.15,0.34,0.28,42460.9,27691.9,62768.3,51691.5,123080
Culpeper County,Virginia,0.34,0.13,0.36,0.17,62768.3,23999.6,66460.5,31384.1,122969
Alexandria city,Virginia,0.23,0.2,0.26,0.31,42460.9,36922.5,47999.3,57229.9,122645
James City County,Virginia,0.2,0.17,0.33,0.3,36922.5,31384.1,60922.1,55383.8,119888
Spotsylvania County,Virginia,0.29,0.17,0.37,0.17,53537.6,31384.1,68306.6,31384.1,119594
Manassas city,Virginia,0.33,0.15,0.32,0.2,60922.1,27691.9,59076,36922.5,117687
Staunton city,Virginia,0.37,0.13,0.28,0.22,68306.6,23999.6,51691.5,40614.8,116100
Loudoun County,Virginia,0.15,0.16,0.35,0.34,27691.9,29538,64614.4,62768.3,115300
Henrico County,Virginia,0.3,0.18,0.31,0.21,55383.8,33230.3,57229.9,38768.6,114033
Campbell County,Virginia,0.3,0.16,0.3,0.24,55383.8,29538,55383.8,44307,113206
Harrisonburg city,Virginia,0.33,0.15,0.22,0.3,60922.1,27691.9,40614.8,55383.8,112027
Colonial Heights city,Virginia,0.36,0.16,0.28,0.2,66460.5,29538,51691.5,36922.5,111181
Roanoke County,Virginia,0.2,0.16,0.3,0.34,36922.5,29538,55383.8,62768.3,110950
Botetourt County,Virginia,0.2,0.16,0.35,0.29,36922.5,29538,64614.4,53537.6,110813
Lynchburg city,Virginia,0.39,0.22,0.23,0.16,71998.9,40614.8,42460.9,29538,109764
Petersburg city,Virginia,0.55,0.18,0.27,0,101536.9,33230.3,49845.4,,106806
Prince William County,Virginia,0.28,0.19,0.39,0.14,51691.5,35076.4,71998.9,25845.8,106300
King George County,Virginia,0.29,0.22,0.43,0.06,53537.6,40614.8,79383.4,11076.8,103114
Danville city,Virginia,0.5,0.15,0.17,0.18,92306.3,27691.9,31384.1,33230.3,102120
Isle of Wight County,Virginia,0.31,0.17,0.32,0.2,57229.9,31384.1,59076,36922.5,101876
York County,Virginia,0.2,0.16,0.34,0.3,36922.5,29538,62768.3,55383.8,101844
Warren County,Virginia,0.32,0.11,0.31,0.26,59076,20307.4,57229.9,47999.3,101609
Virginia Beach city,Virginia,0.3,0.19,0.34,0.17,55383.8,35076.4,62768.3,31384.1,100337
Newport News city,Virginia,0.49,0.2,0.29,0.02,90460.1,36922.5,53537.6,3692.3,99445
Stafford County,Virginia,0.25,0.21,0.42,0.12,46153.1,38768.6,77537.3,22153.5,97729
Gloucester County,Virginia,0.32,0.14,0.37,0.17,59076,25845.8,68306.6,31384.1,97536
Chesterfield County,Virginia,0.27,0.2,0.35,0.18,49845.4,36922.5,64614.4,33230.3,97480
Roanoke city,Virginia,0.39,0.19,0.23,0.19,71998.9,35076.4,42460.9,35076.4,96516
Halifax County,Virginia,0.45,0.15,0.24,0.16,83075.6,27691.9,44307,29538,95740
Hampton city,Virginia,0.45,0.21,0.3,0.04,83075.6,38768.6,55383.8,7384.5,95238
Richmond city,Virginia,0.45,0.23,0.23,0.09,83075.6,42460.9,42460.9,16615.1,94074
Caroline County,Virginia,0.34,0.18,0.39,0.09,62768.3,33230.3,71998.9,16615.1,92511
Chesapeake city,Virginia,0.31,0.2,0.36,0.13,57229.9,36922.5,66460.5,23999.6,90930
Manassas Park city,Virginia,0.32,0.19,0.33,0.16,59076,35076.4,60922.1,29538,90384
Fredericksburg city,Virginia,0.35,0.21,0.3,0.14,64614.4,38768.6,55383.8,25845.8,89671
Tazewell County,Virginia,0.4,0.1,0.35,0.15,73845,18461.3,64614.4,27691.9,85430
Portsmouth city,Virginia,0.5,0.21,0.28,0.01,92306.3,38768.6,51691.5,1846.1,84429
Dinwiddie County,Virginia,0.32,0.14,0.33,0.21,59076,25845.8,60922.1,38768.6,82236
Fluvanna County,Virginia,0.26,0.13,0.33,0.28,47999.3,23999.6,60922.1,51691.5,80654
Norfolk city,Virginia,0.46,0.22,0.28,0.04,84921.8,40614.8,51691.5,7384.5,76423
Douglas County,Washington,0.16,0.1,0.33,0.41,29538,18461.3,60922.1,75691.1,176160
Lewis County,Washington,0.28,0.09,0.3,0.33,51691.5,16615.1,55383.8,60922.1,176000
Clallam County,Washington,0.18,0.1,0.21,0.51,33230.3,18461.3,38768.6,94152.4,150390
Island County,Washington,0.17,0.11,0.3,0.42,31384.1,20307.4,55383.8,77537.3,149427
Grays Harbor County,Washington,0.3,0.1,0.29,0.31,55383.8,18461.3,53537.6,57229.9,140800
Stevens County,Washington,0.23,0.1,0.24,0.43,42460.9,18461.3,44307,79383.4,139300
Cowlitz County,Washington,0.34,0.12,0.32,0.22,62768.3,22153.5,59076,40614.8,134208
King County,Washington,0.19,0.15,0.26,0.4,35076.4,27691.9,47999.3,73845,122913
Franklin County,Washington,0.24,0.12,0.37,0.27,44307,22153.5,68306.6,49845.4,122575
Mason County,Washington,0.24,0.1,0.31,0.35,44307,18461.3,57229.9,64614.4,120690
Chelan County,Washington,0.19,0.13,0.28,0.4,35076.4,23999.6,51691.5,73845,120362
Skagit County,Washington,0.2,0.1,0.26,0.44,36922.5,18461.3,47999.3,81229.5,119080
Yakima County,Washington,0.29,0.13,0.29,0.29,53537.6,23999.6,53537.6,53537.6,117831
Thurston County,Washington,0.24,0.15,0.32,0.29,44307,27691.9,59076,53537.6,115347
Whatcom County,Washington,0.18,0.13,0.24,0.45,33230.3,23999.6,44307,83075.6,113392
Snohomish County,Washington,0.22,0.13,0.31,0.34,40614.8,23999.6,57229.9,62768.3,113154
Okanogan County,Washington,0.21,0.13,0.29,0.37,38768.6,23999.6,53537.6,68306.6,110731
Benton County,Washington,0.21,0.14,0.35,0.3,38768.6,25845.8,64614.4,55383.8,108929
Walla Walla County,Washington,0.22,0.14,0.3,0.34,40614.8,25845.8,55383.8,62768.3,108121
Asotin County,Washington,0.28,0.15,0.27,0.3,51691.5,27691.9,49845.4,55383.8,108047
Kitsap County,Washington,0.22,0.14,0.31,0.33,40614.8,25845.8,57229.9,60922.1,105829
Spokane County,Washington,0.24,0.18,0.25,0.33,44307,33230.3,46153.1,60922.1,99244
Clark County,Washington,0.27,0.16,0.31,0.26,49845.4,29538,57229.9,47999.3,97056
Whitman County,Washington,0.17,0.23,0.24,0.36,31384.1,42460.9,44307,66460.5,93426
Pierce County,Washington,0.29,0.16,0.34,0.21,53537.6,29538,62768.3,38768.6,90900
Kittitas County,Washington,0.21,0.18,0.28,0.33,38768.6,33230.3,51691.5,60922.1,89094
Grant County,Washington,0.23,0.11,0.3,0.36,42460.9,20307.4,55383.8,66460.5,86973
Greenbrier County,West Virginia,0.38,0.12,0.3,0.2,70152.8,22153.5,55383.8,36922.5,184125
Preston County,West Virginia,0.37,0.11,0.37,0.15,68306.6,20307.4,68306.6,27691.9,159091
Mercer County,West Virginia,0.44,0.14,0.31,0.11,81229.5,25845.8,57229.9,20307.4,141786
Marshall County,West Virginia,0.36,0.15,0.34,0.15,66460.5,27691.9,62768.3,27691.9,125207
Nicholas County,West Virginia,0.45,0.14,0.34,0.07,83075.6,25845.8,62768.3,12922.9,122493
Ohio County,West Virginia,0.35,0.15,0.27,0.23,64614.4,27691.9,49845.4,42460.9,120367
Raleigh County,West Virginia,0.42,0.13,0.33,0.12,77537.3,23999.6,60922.1,22153.5,119592
Brooke County,West Virginia,0.38,0.15,0.28,0.19,70152.8,27691.9,51691.5,35076.4,113467
Jefferson County,West Virginia,0.34,0.17,0.36,0.13,62768.3,31384.1,66460.5,23999.6,110094
Monongalia County,West Virginia,0.33,0.22,0.31,0.14,60922.1,40614.8,57229.9,25845.8,104614
Mason County,West Virginia,0.47,0.15,0.32,0.06,86767.9,27691.9,59076,11076.8,100940
Upshur County,West Virginia,0.42,0.15,0.33,0.1,77537.3,27691.9,60922.1,18461.3,98833
Berkeley County,West Virginia,0.43,0.18,0.34,0.05,79383.4,33230.3,62768.3,9230.6,98494
Randolph County,West Virginia,0.38,0.13,0.34,0.15,70152.8,23999.6,62768.3,27691.9,98238
Cabell County,West Virginia,0.47,0.18,0.26,0.09,86767.9,33230.3,47999.3,16615.1,97822
Fayette County,West Virginia,0.49,0.18,0.33,0,90460.1,33230.3,60922.1,,97517
Harrison County,West Virginia,0.39,0.15,0.34,0.12,71998.9,27691.9,62768.3,22153.5,94700
Jackson County,West Virginia,0.39,0.16,0.31,0.14,71998.9,29538,57229.9,25845.8,94194
Kanawha County,West Virginia,0.45,0.16,0.28,0.11,83075.6,29538,51691.5,20307.4,91375
Hancock County,West Virginia,0.4,0.16,0.29,0.15,73845,29538,53537.6,27691.9,87775
Marion County,West Virginia,0.39,0.18,0.4,0.03,71998.9,33230.3,73845,5538.4,87722
Putnam County,West Virginia,0.37,0.18,0.35,0.1,68306.6,33230.3,64614.4,18461.3,84350
Wayne County,West Virginia,0.44,0.14,0.27,0.15,81229.5,25845.8,49845.4,27691.9,82950
Wood County,West Virginia,0.38,0.15,0.25,0.22,70152.8,27691.9,46153.1,40614.8,80000
Mineral County,West Virginia,0.4,0.13,0.38,0.09,73845,23999.6,70152.8,16615.1,68762
Shawano County,Wisconsin,0.22,0.11,0.29,0.38,40614.8,20307.4,53537.6,70152.8,150818
Columbia County,Wisconsin,0.19,0.15,0.37,0.29,35076.4,27691.9,68306.6,53537.6,120800
Ozaukee County,Wisconsin,0.12,0.17,0.32,0.39,22153.5,31384.1,59076,71998.9,114476
Vernon County,Wisconsin,0.17,0.14,0.31,0.38,31384.1,25845.8,57229.9,70152.8,110800
Grant County,Wisconsin,0.19,0.15,0.36,0.3,35076.4,27691.9,66460.5,55383.8,105960
Green County,Wisconsin,0.18,0.14,0.32,0.36,33230.3,25845.8,59076,66460.5,101293
Jefferson County,Wisconsin,0.25,0.16,0.3,0.29,46153.1,29538,55383.8,53537.6,99388
Marinette County,Wisconsin,0.22,0.14,0.27,0.37,40614.8,25845.8,49845.4,68306.6,98671
Sauk County,Wisconsin,0.24,0.16,0.34,0.26,44307,29538,62768.3,47999.3,97913
Kenosha County,Wisconsin,0.32,0.18,0.34,0.16,59076,33230.3,62768.3,29538,97222
Waupaca County,Wisconsin,0.22,0.13,0.29,0.36,40614.8,23999.6,53537.6,66460.5,96915
Washington County,Wisconsin,0.18,0.15,0.37,0.3,33230.3,27691.9,68306.6,55383.8,96913
Waukesha County,Wisconsin,0.15,0.17,0.33,0.35,27691.9,31384.1,60922.1,64614.4,96500
Monroe County,Wisconsin,0.21,0.15,0.36,0.28,38768.6,27691.9,66460.5,51691.5,94940
Sheboygan County,Wisconsin,0.2,0.15,0.31,0.34,36922.5,27691.9,57229.9,62768.3,94373
Oconto County,Wisconsin,0.21,0.13,0.29,0.37,38768.6,23999.6,53537.6,68306.6,93169
Walworth County,Wisconsin,0.26,0.16,0.32,0.26,47999.3,29538,59076,47999.3,91956
St. Croix County,Wisconsin,0.13,0.19,0.44,0.24,23999.6,35076.4,81229.5,44307,88674
Fond du Lac County,Wisconsin,0.21,0.15,0.34,0.3,38768.6,27691.9,62768.3,55383.8,87773
Dane County,Wisconsin,0.17,0.2,0.31,0.32,31384.1,36922.5,57229.9,59076,87705
Door County,Wisconsin,0.14,0.14,0.28,0.44,25845.8,25845.8,51691.5,81229.5,87221
Clark County,Wisconsin,0.24,0.12,0.26,0.38,44307,22153.5,47999.3,70152.8,87050
Polk County,Wisconsin,0.19,0.16,0.39,0.26,35076.4,29538,71998.9,47999.3,84663
Douglas County,Wisconsin,0.2,0.19,0.31,0.3,36922.5,35076.4,57229.9,55383.8,84205
Pierce County,Wisconsin,0.18,0.22,0.38,0.22,33230.3,40614.8,70152.8,40614.8,82214
Winnebago County,Wisconsin,0.22,0.18,0.31,0.29,40614.8,33230.3,57229.9,53537.6,81811
Milwaukee County,Wisconsin,0.4,0.22,0.25,0.13,73845,40614.8,46153.1,23999.6,81750
Rock County,Wisconsin,0.32,0.16,0.36,0.16,59076,29538,66460.5,29538,81325
Brown County,Wisconsin,0.22,0.19,0.3,0.29,40614.8,35076.4,55383.8,53537.6,81084
Racine County,Wisconsin,0.35,0.17,0.31,0.17,64614.4,31384.1,57229.9,31384.1,80894
Outagamie County,Wisconsin,0.19,0.17,0.32,0.32,35076.4,31384.1,59076,59076,80694
Manitowoc County,Wisconsin,0.2,0.17,0.28,0.35,36922.5,31384.1,51691.5,64614.4,80318
Dunn County,Wisconsin,0.21,0.21,0.38,0.2,38768.6,38768.6,70152.8,36922.5,77371
Chippewa County,Wisconsin,0.21,0.16,0.39,0.24,38768.6,29538,71998.9,44307,77213
Juneau County,Wisconsin,0.27,0.15,0.29,0.29,49845.4,27691.9,53537.6,53537.6,77020
Wood County,Wisconsin,0.23,0.15,0.27,0.35,42460.9,27691.9,49845.4,64614.4,76940
Trempealeau County,Wisconsin,0.19,0.14,0.29,0.38,35076.4,25845.8,53537.6,70152.8,76786
Iowa County,Wisconsin,0.16,0.15,0.38,0.31,29538,27691.9,70152.8,57229.9,75793
Portage County,Wisconsin,0.17,0.16,0.3,0.37,31384.1,29538,55383.8,68306.6,74950
Oneida County,Wisconsin,0.22,0.13,0.33,0.32,40614.8,23999.6,60922.1,59076,74908
Calumet County,Wisconsin,0.14,0.18,0.33,0.35,25845.8,33230.3,60922.1,64614.4,71789
Dodge County,Wisconsin,0.25,0.16,0.37,0.22,46153.1,29538,68306.6,40614.8,71525
Barron County,Wisconsin,0.23,0.16,0.32,0.29,42460.9,29538,59076,53537.6,69656
Langlade County,Wisconsin,0.25,0.16,0.37,0.22,46153.1,29538,68306.6,40614.8,67881
Marathon County,Wisconsin,0.2,0.18,0.32,0.3,36922.5,33230.3,59076,55383.8,67689
Lincoln County,Wisconsin,0.27,0.17,0.27,0.29,49845.4,31384.1,49845.4,53537.6,64888
Eau Claire County,Wisconsin,0.21,0.23,0.35,0.21,38768.6,42460.9,64614.4,38768.6,62322
La Crosse County,Wisconsin,0.2,0.22,0.34,0.24,36922.5,40614.8,62768.3,44307,61868
Fremont County,Wyoming,0.38,0.12,0.3,0.2,70152.8,22153.5,55383.8,36922.5,159300
Natrona County,Wyoming,0.31,0.13,0.33,0.23,57229.9,23999.6,60922.1,42460.9,115000
Teton County,Wyoming,0.21,0.11,0.27,0.41,38768.6,20307.4,49845.4,75691.1,108155
Laramie County,Wyoming,0.27,0.15,0.38,0.2,49845.4,27691.9,70152.8,36922.5,101947
Albany County,Wyoming,0.25,0.2,0.32,0.23,46153.1,36922.5,59076,42460.9,97710
Sheridan County,Wyoming,0.24,0.11,0.31,0.34,44307,20307.4,57229.9,62768.3,91627
Park County,Wyoming,0.21,0.13,0.34,0.32,38768.6,23999.6,62768.3,59076,90531
Sweetwater County,Wyoming,0.32,0.11,0.41,0.16,59076,20307.4,75691.1,29538,89745
Campbell County,Wyoming,0.29,0.15,0.42,0.14,53537.6,27691.9,77537.3,25845.8,82973
