Name,County,Population,Median Age,Household Income,Per Capita Income,Unemployment Count,Poverty Count,Poverty Rate,State
"Aguas Buenas Municipio, Puerto Rico",Aguas Buenas Municipio,26855.0,40.4,16733.0,10615.0,1941.0,12910.0,48.07298454663936, Puerto Rico
"Bayamón Municipio, Puerto Rico",Bayamón Municipio,188614.0,40.4,25528.0,14138.0,11392.0,63445.0,33.63748184122069, Puerto Rico
"Carolina Municipio, Puerto Rico",Carolina Municipio,161684.0,41.1,29082.0,16188.0,10203.0,46686.0,28.87484228495089, Puerto Rico
"Cayey Municipio, Puerto Rico",Cayey Municipio,45431.0,41.0,20442.0,12594.0,1746.0,19785.0,43.54955867139178, Puerto Rico
"Monroe County, Alabama",Monroe County,21745.0,41.7,26036.0,17264.0,1691.0,7249.0,33.3363991722235, Alabama
"Lawrence County, Alabama",Lawrence County,33288.0,42.0,43779.0,22419.0,972.0,5490.0,16.49242970439798, Alabama
"Lee County, Alabama",Lee County,156597.0,31.0,47564.0,26170.0,4371.0,33132.0,21.15749343857162, Alabama
"Marion County, Alabama",Marion County,30058.0,44.1,35719.0,21835.0,691.0,5175.0,17.21671435225231, Alabama
"Pickens County, Alabama",Pickens County,20170.0,42.1,36220.0,20089.0,958.0,4340.0,21.51710461080813, Alabama
"Sumter County, Alabama",Sumter County,13084.0,35.9,21663.0,14739.0,672.0,4398.0,33.61357383063283, Alabama
"Jefferson County, Alabama",Jefferson County,659460.0,37.6,49321.0,29456.0,25044.0,113368.0,17.191035089315502, Alabama
"Choctaw County, Alabama",Choctaw County,13188.0,45.8,32122.0,20994.0,468.0,2903.0,22.012435547467394, Alabama
"Franklin County, Alabama",Franklin County,31507.0,37.7,39501.0,19314.0,1114.0,7175.0,22.772717173961343, Alabama
"Marengo County, Alabama",Marengo County,19743.0,42.1,32255.0,22996.0,975.0,5000.0,25.325431798612165, Alabama
"Russell County, Alabama",Russell County,58480.0,35.3,38988.0,21279.0,2465.0,12024.0,20.560875512995896, Alabama
"Cherokee County, Alabama",Cherokee County,25855.0,46.1,40041.0,23010.0,557.0,4104.0,15.873138657899826, Alabama
"Covington County, Alabama",Covington County,37519.0,43.4,39467.0,22431.0,1759.0,6491.0,17.300567712359072, Alabama
"Crenshaw County, Alabama",Crenshaw County,13866.0,41.4,38937.0,21580.0,389.0,2399.0,17.301312563103995, Alabama
"Dallas County, Alabama",Dallas County,40755.0,39.3,30065.0,18248.0,2302.0,12795.0,31.39492086860508, Alabama
"Lauderdale County, Alabama",Lauderdale County,92590.0,41.5,44888.0,25803.0,2798.0,14701.0,15.87752457068798, Alabama
"Lowndes County, Alabama",Lowndes County,10362.0,40.7,29785.0,18976.0,446.0,3095.0,29.868751206330824, Alabama
"Macon County, Alabama",Macon County,19358.0,38.0,32308.0,19564.0,1251.0,4380.0,22.626304370286185, Alabama
"Limestone County, Alabama",Limestone County,91695.0,39.1,52831.0,26685.0,2957.0,13138.0,14.327935001908502, Alabama
"Shelby County, Alabama",Shelby County,208721.0,38.5,74063.0,35330.0,4650.0,17127.0,8.205690850465453, Alabama
"St. Clair County, Alabama",St. Clair County,86937.0,40.1,53483.0,24686.0,2354.0,11656.0,13.407409963536814, Alabama
"Winston County, Alabama",Winston County,23968.0,44.6,35362.0,20580.0,925.0,4395.0,18.336949265687583, Alabama
"Baldwin County, Alabama",Baldwin County,203360.0,42.6,52562.0,29364.0,5215.0,23728.0,11.667977970102282, Alabama
"Cullman County, Alabama",Cullman County,81703.0,40.6,40997.0,21857.0,1962.0,13157.0,16.10344785381198, Alabama
"Elmore County, Alabama",Elmore County,80989.0,38.5,54981.0,26251.0,2613.0,10299.0,12.716541752583684, Alabama
"Houston County, Alabama",Houston County,104108.0,39.6,42803.0,24781.0,3642.0,19030.0,18.279094786183578, Alabama
"Jackson County, Alabama",Jackson County,52326.0,43.0,39281.0,20946.0,1699.0,9827.0,18.780338646179718, Alabama
"Talladega County, Alabama",Talladega County,80888.0,40.6,39219.0,21382.0,3440.0,14946.0,18.477400850558798, Alabama
"Tuscaloosa County, Alabama",Tuscaloosa County,204424.0,32.3,50513.0,24895.0,6570.0,33597.0,16.43495871326263, Alabama
"Washington County, Alabama",Washington County,16746.0,43.5,42185.0,23239.0,708.0,3644.0,21.760420398901232, Alabama
"Clay County, Alabama",Clay County,13407.0,43.8,37287.0,21330.0,379.0,2493.0,18.594763929290668, Alabama
"Coffee County, Alabama",Coffee County,51073.0,39.3,49821.0,26216.0,1391.0,8122.0,15.902727468525445, Alabama
"Morgan County, Alabama",Morgan County,119157.0,40.1,47529.0,25013.0,3496.0,19448.0,16.321323967538625, Alabama
"Pike County, Alabama",Pike County,33287.0,31.4,35684.0,20808.0,1366.0,8224.0,24.70634181512302, Alabama
"Chilton County, Alabama",Chilton County,43805.0,38.9,43501.0,23368.0,1271.0,8392.0,19.15763040748773, Alabama
"Colbert County, Alabama",Colbert County,54435.0,42.5,45477.0,23675.0,1653.0,9056.0,16.636355286121063, Alabama
"Coosa County, Alabama",Coosa County,10955.0,45.9,34792.0,20342.0,498.0,1513.0,13.811045184847101, Alabama
"Dale County, Alabama",Dale County,49393.0,37.1,44711.0,23194.0,2097.0,9441.0,19.114044500232826, Alabama
"Hale County, Alabama",Hale County,14995.0,39.8,34679.0,20269.0,697.0,3852.0,25.68856285428476, Alabama
"Etowah County, Alabama",Etowah County,103132.0,40.9,42064.0,22278.0,3406.0,18166.0,17.61431951285731, Alabama
"DeKalb County, Alabama",DeKalb County,71194.0,39.0,38842.0,20020.0,1529.0,15115.0,21.23072169003006, Alabama
"Escambia County, Alabama",Escambia County,37621.0,39.6,35026.0,18164.0,1930.0,8281.0,22.01164243374711, Alabama
"Lamar County, Alabama",Lamar County,14021.0,44.5,36016.0,21152.0,459.0,3191.0,22.758719064260752, Alabama
"Randolph County, Alabama",Randolph County,22530.0,42.7,39485.0,20983.0,530.0,4102.0,18.206835330670216, Alabama
"Butler County, Alabama",Butler County,20126.0,40.7,36326.0,19004.0,640.0,4835.0,24.02365099870814, Alabama
"Mobile County, Alabama",Mobile County,414328.0,37.3,45802.0,24347.0,13977.0,78256.0,18.88745148771022, Alabama
"Conecuh County, Alabama",Conecuh County,12649.0,44.5,30434.0,16337.0,669.0,3316.0,26.21551110759744, Alabama
"Perry County, Alabama",Perry County,9680.0,37.6,22973.0,13449.0,332.0,3706.0,38.28512396694215, Alabama
"Walker County, Alabama",Walker County,64927.0,42.3,38872.0,21217.0,2701.0,13754.0,21.183791026845533, Alabama
"Cleburne County, Alabama",Cleburne County,14939.0,41.7,37396.0,20873.0,489.0,2800.0,18.742887743490193, Alabama
"Greene County, Alabama",Greene County,8533.0,42.0,20954.0,14197.0,419.0,3293.0,38.59135122465721, Alabama
"Barbour County, Alabama",Barbour County,26201.0,39.7,33368.0,17561.0,1261.0,6332.0,24.16701652608679, Alabama
"Bibb County, Alabama",Bibb County,22580.0,39.8,43404.0,20911.0,728.0,3133.0,13.87511071744907, Alabama
"Bullock County, Alabama",Bullock County,10478.0,40.8,29655.0,20856.0,592.0,2852.0,27.218934911242602, Alabama
"Calhoun County, Alabama",Calhoun County,115527.0,39.1,43686.0,23638.0,5309.0,20940.0,18.125632968916356, Alabama
"Chambers County, Alabama",Chambers County,33895.0,43.0,37342.0,22002.0,994.0,6288.0,18.55140876235433, Alabama
"Clarke County, Alabama",Clarke County,24625.0,42.2,33827.0,20765.0,1424.0,6108.0,24.804060913705584, Alabama
"Fayette County, Alabama",Fayette County,16657.0,43.6,36541.0,21191.0,576.0,2967.0,17.8123311520682, Alabama
"Montgomery County, Alabama",Montgomery County,227120.0,35.9,46545.0,26712.0,8343.0,45863.0,20.19328989080662, Alabama
"Marshall County, Alabama",Marshall County,94738.0,38.8,41104.0,22710.0,2684.0,19654.0,20.74563533112373, Alabama
"Blount County, Alabama",Blount County,57667.0,40.9,47412.0,22021.0,1091.0,8919.0,15.466384587372326, Alabama
"Henry County, Alabama",Henry County,17110.0,43.5,45569.0,23983.0,496.0,2310.0,13.500876680303916, Alabama
"Madison County, Alabama",Madison County,353213.0,38.2,61318.0,34232.0,11822.0,46925.0,13.285184860126892, Alabama
"Autauga County, Alabama",Autauga County,55036.0,37.8,55317.0,27824.0,1324.0,7483.0,13.596554982193473, Alabama
"Tallapoosa County, Alabama",Tallapoosa County,40756.0,43.3,42181.0,22430.0,1547.0,8532.0,20.934340955932868, Alabama
"Geneva County, Alabama",Geneva County,26572.0,42.7,39293.0,21084.0,1011.0,5903.0,22.215113653469817, Alabama
"Wilcox County, Alabama",Wilcox County,10919.0,40.5,27012.0,15774.0,602.0,3371.0,30.872790548585034, Alabama
"Kodiak Island Borough, Alaska",Kodiak Island Borough,13773.0,33.1,74167.0,32625.0,396.0,1262.0,9.162854860959849, Alaska
"Denali Borough, Alaska",Denali Borough,2303.0,38.4,83295.0,33084.0,29.0,351.0,15.240990013026487, Alaska
"Valdez-Cordova Census Area, Alaska",Valdez-Cordova Census Area,9439.0,40.0,86019.0,37935.0,384.0,694.0,7.352473779002013, Alaska
"Kenai Peninsula Borough, Alaska",Kenai Peninsula Borough,57961.0,40.6,65279.0,33336.0,2397.0,6229.0,10.746881523783234, Alaska
"Aleutians West Census Area, Alaska",Aleutians West Census Area,5784.0,37.7,85192.0,35998.0,77.0,419.0,7.244121715076072, Alaska
"Bristol Bay Borough, Alaska",Bristol Bay Borough,917.0,41.8,79500.0,42002.0,37.0,63.0,6.870229007633588, Alaska
